salesBy,PRODID_sk,PRODID,DESCRIPTION,PRICE1,PRICE2,UNITCOST,SUPPLIER NAME,ADDR1,ADDR2,CITY,STATE,ZIP,TYPEDESCRIPTION,BUID
TPCE,60,60,Habitually Manufacturing Equip,509.3,419.1,394,Black Hills Corp,Attn : Edena Gilbert,1618 Greenland St.,Tallahassee,FL,32304,Manufacturing Equip,A
TPCE,70,70,Escape Manufacturing Equip,584.4,523.6,507.9,Black Hills Corp,Attn : Edena Gilbert,1618 Greenland St.,Tallahassee,FL,32304,Manufacturing Equip,A
TPCE,81,81,Palm Polishing Equip,122.4,105.4,103.3,Black Hills Corp,Attn : Edena Gilbert,1618 Greenland St.,Tallahassee,FL,32304,Polishing Equip,A
TPCE,96,96,Drafty Cleaning Supplies,107.1,92.7,89,Black Hills Corp,Attn : Edena Gilbert,1618 Greenland St.,Tallahassee,FL,32304,Cleaning Supplies,B
TPCE,97,97,Stickiest Paper Supplies,575.9,502.8,467.6,Black Hills Corp,Attn : Edena Gilbert,1618 Greenland St.,Tallahassee,FL,32304,Paper Supplies,B
TPCE,79,79,Siena Plastic Supplies,155,136.4,132.3,Black Hills Corp,Attn : Edena Gilbert,1618 Greenland St.,Tallahassee,FL,32304,Plastic Supplies,B
TPCE,69,69,Hits Tray Supplies,439.5,359.1,341.1,Black Hills Corp,Attn : Edena Gilbert,1618 Greenland St.,Tallahassee,FL,32304,Tray Supplies,B
TPCE,14,14,Engle Photo Chemicals,429.9,346.1,342.6,Black Hills Corp,Attn : Edena Gilbert,1618 Greenland St.,Tallahassee,FL,32304,Photo Chemicals,C
TPCE,62,62,Substances Flushing Chemicals,507.3,409.9,397.6,Black Hills Corp,Attn : Edena Gilbert,1618 Greenland St.,Tallahassee,FL,32304,Flushing Chemicals,C
TPCE,29,29,Bluest Fillers,507.4,428.2,398.2,Black Hills Corp,Attn : Edena Gilbert,1618 Greenland St.,Tallahassee,FL,32304,Fillers,D
TPCE,2,2,Tailor Jacks,509.8,429.7,399.7,Black Hills Corp,Attn : Edena Gilbert,1618 Greenland St.,Tallahassee,FL,32304,Jacks,D
TPCE,37,37,Concentrators Polishing Equip,584.6,524.9,482.9,Immunex Corp,Attn : Elbert Glad,5841 Pervades Drive,Fairfax,VA,22035,Polishing Equip,A
TPCE,4,4,Embodying Cleaning Supplies,250.9,213.5,207.1,Immunex Corp,Attn : Elbert Glad,5841 Pervades Drive,Fairfax,VA,22035,Cleaning Supplies,B
TPCE,78,78,Measured Photo Chemicals,318.1,270.7,254.4,Immunex Corp,Attn : Elbert Glad,5841 Pervades Drive,Fairfax,VA,22035,Photo Chemicals,C
TPCE,53,53,Ruffle Freezing Chemicals,476.4,394.9,379.1,Immunex Corp,Attn : Elbert Glad,5841 Pervades Drive,Fairfax,VA,22035,Freezing Chemicals,C
TPCE,94,94,Beliefs Freezing Chemicals,566.6,483.9,454.9,Immunex Corp,Attn : Elbert Glad,5841 Pervades Drive,Fairfax,VA,22035,Freezing Chemicals,C
TPCE,85,85,Disallow Manufacturing Equip,165.2,145.9,144.4,Dollar General Corp,Attn : Antoinette Hickey,3988 Chanced Ave.,S Middleton,PA,17007,Manufacturing Equip,A
TPCE,34,34,Sailors Manufacturing Equip,340.5,290.4,278.8,Dollar General Corp,Attn : Antoinette Hickey,3988 Chanced Ave.,S Middleton,PA,17007,Manufacturing Equip,A
TPCE,38,38,Syntax Polishing Equip,226.7,190.9,177.5,Dollar General Corp,Attn : Antoinette Hickey,3988 Chanced Ave.,S Middleton,PA,17007,Polishing Equip,A
TPCE,90,90,Curiouser Cleaning Supplies,419.4,364.4,338.9,Dollar General Corp,Attn : Antoinette Hickey,3988 Chanced Ave.,S Middleton,PA,17007,Cleaning Supplies,B
TPCE,23,23,Decided Tray Supplies,233.3,202.3,198.2,Dollar General Corp,Attn : Antoinette Hickey,3988 Chanced Ave.,S Middleton,PA,17007,Tray Supplies,B
TPCE,99,99,Richards Freezing Chemicals,529.4,475.4,470.6,Dollar General Corp,Attn : Antoinette Hickey,3988 Chanced Ave.,S Middleton,PA,17007,Freezing Chemicals,C
TPCE,42,42,Carelessly Freezing Chemicals,559.7,467.9,425.8,Dollar General Corp,Attn : Antoinette Hickey,3988 Chanced Ave.,S Middleton,PA,17007,Freezing Chemicals,C
TPCE,47,47,Significants Freezing Chemicals,141.6,113.2,104.2,Dollar General Corp,Attn : Antoinette Hickey,3988 Chanced Ave.,S Middleton,PA,17007,Freezing Chemicals,C
TPCE,64,64,Berwick Fillers,583.9,487.5,463.1,Dollar General Corp,Attn : Antoinette Hickey,3988 Chanced Ave.,S Middleton,PA,17007,Fillers,D
TPCE,74,74,Flanker Fillers,271.4,236.2,219.6,Dollar General Corp,Attn : Antoinette Hickey,3988 Chanced Ave.,S Middleton,PA,17007,Fillers,D
TPCE,11,11,Sulkiness Covers,354.3,289.8,272.4,Dollar General Corp,Attn : Antoinette Hickey,3988 Chanced Ave.,S Middleton,PA,17007,Covers,D
TPCE,16,16,Enhanced Covers,461,384.4,361.4,Dollar General Corp,Attn : Antoinette Hickey,3988 Chanced Ave.,S Middleton,PA,17007,Covers,D
TPCE,76,76,Scrounge Jacks,301.6,251.2,248.7,Dollar General Corp,Attn : Antoinette Hickey,3988 Chanced Ave.,S Middleton,PA,17007,Jacks,D
TPCE,45,45,Slacking Jacks,495,400,388,Dollar General Corp,Attn : Antoinette Hickey,3988 Chanced Ave.,S Middleton,PA,17007,Jacks,D
TPCE,61,61,Courthouses Manufacturing Equip,285.6,243.6,231.4,First Bancshares Inc Mo,Attn : Jensine Lease,11885 Aural Turnpike,Louisville,KY,40253,Manufacturing Equip,A
TPCE,87,87,Suing Manufacturing Equip,482.2,426.7,401.1,First Bancshares Inc Mo,Attn : Jensine Lease,11885 Aural Turnpike,Louisville,KY,40253,Manufacturing Equip,A
TPCE,6,6,Planetesimal Manufacturing Equip,347.3,307,285.5,First Bancshares Inc Mo,Attn : Jensine Lease,11885 Aural Turnpike,Louisville,KY,40253,Manufacturing Equip,A
TPCE,40,40,Insensitivity Manufacturing Equip,200.7,180.4,169.6,First Bancshares Inc Mo,Attn : Jensine Lease,11885 Aural Turnpike,Louisville,KY,40253,Manufacturing Equip,A
TPCE,44,44,Birthdays Manufacturing Equip,196.6,173.2,161.1,First Bancshares Inc Mo,Attn : Jensine Lease,11885 Aural Turnpike,Louisville,KY,40253,Manufacturing Equip,A
TPCE,93,93,Bellowing Polishing Equip,502.6,451.3,446.8,First Bancshares Inc Mo,Attn : Jensine Lease,11885 Aural Turnpike,Louisville,KY,40253,Polishing Equip,A
TPCE,21,21,Denigrating Polishing Equip,566,454.5,427.2,First Bancshares Inc Mo,Attn : Jensine Lease,11885 Aural Turnpike,Louisville,KY,40253,Polishing Equip,A
TPCE,46,46,Distantly Paper Supplies,518.5,436.1,418.6,First Bancshares Inc Mo,Attn : Jensine Lease,11885 Aural Turnpike,Louisville,KY,40253,Paper Supplies,B
TPCE,55,55,Bumblers Plastic Supplies,545.3,466.2,447.6,First Bancshares Inc Mo,Attn : Jensine Lease,11885 Aural Turnpike,Louisville,KY,40253,Plastic Supplies,B
TPCE,33,33,Consumable Tray Supplies,395.7,347.4,337,First Bancshares Inc Mo,Attn : Jensine Lease,11885 Aural Turnpike,Louisville,KY,40253,Tray Supplies,B
TPCE,19,19,Hesitating Jacks,124.5,100.1,96.1,First Bancshares Inc Mo,Attn : Jensine Lease,11885 Aural Turnpike,Louisville,KY,40253,Jacks,D
TPCE,67,67,Occlusion Manufacturing Equip,199.9,177.3,164.9,Afg Industries Inc.,Attn : Dorothy Polk,5377 Cookbook Circle,Vero Beach,FL,32967,Manufacturing Equip,A
TPCE,63,63,Weeks Polishing Equip,198.8,174.2,168.9,Afg Industries Inc.,Attn : Dorothy Polk,5377 Cookbook Circle,Vero Beach,FL,32967,Polishing Equip,A
TPCE,68,68,Loaves Polishing Equip,425.6,361.3,354.1,Afg Industries Inc.,Attn : Dorothy Polk,5377 Cookbook Circle,Vero Beach,FL,32967,Polishing Equip,A
TPCE,95,95,Duplicator Polishing Equip,544.3,465.4,432.8,Afg Industries Inc.,Attn : Dorothy Polk,5377 Cookbook Circle,Vero Beach,FL,32967,Polishing Equip,A
TPCE,84,84,Unjust Paper Supplies,222.5,182.2,176.7,Afg Industries Inc.,Attn : Dorothy Polk,5377 Cookbook Circle,Vero Beach,FL,32967,Paper Supplies,B
TPCE,59,59,Tonnage Plastic Supplies,368.8,315.6,309.3,Afg Industries Inc.,Attn : Dorothy Polk,5377 Cookbook Circle,Vero Beach,FL,32967,Plastic Supplies,B
TPCE,39,39,Overlays Plastic Supplies,301.1,254.4,241.7,Afg Industries Inc.,Attn : Dorothy Polk,5377 Cookbook Circle,Vero Beach,FL,32967,Plastic Supplies,B
TPCE,92,92,Behind Tray Supplies,166.7,139,129.3,Afg Industries Inc.,Attn : Dorothy Polk,5377 Cookbook Circle,Vero Beach,FL,32967,Tray Supplies,B
TPCE,54,54,Honeymoon Photo Chemicals,326.1,292.2,271.8,Afg Industries Inc.,Attn : Dorothy Polk,5377 Cookbook Circle,Vero Beach,FL,32967,Photo Chemicals,C
TPCE,49,49,Visage Flushing Chemicals,567.8,507.6,467,Afg Industries Inc.,Attn : Dorothy Polk,5377 Cookbook Circle,Vero Beach,FL,32967,Flushing Chemicals,C
TPCE,9,9,Millimeters Flushing Chemicals,295.6,251.8,241.8,Afg Industries Inc.,Attn : Dorothy Polk,5377 Cookbook Circle,Vero Beach,FL,32967,Flushing Chemicals,C
TPCE,28,28,Wonderingly Covers,547.2,467.3,453.3,Afg Industries Inc.,Attn : Dorothy Polk,5377 Cookbook Circle,Vero Beach,FL,32967,Covers,D
TPCE,43,43,Blazed Covers,495,416.8,404.3,Afg Industries Inc.,Attn : Dorothy Polk,5377 Cookbook Circle,Vero Beach,FL,32967,Covers,D
TPCE,73,73,Cosgrove Jacks,298.9,267.8,254.4,Afg Industries Inc.,Attn : Dorothy Polk,5377 Cookbook Circle,Vero Beach,FL,32967,Jacks,D
TPCE,36,36,Bomber Photo Equip,461.3,400.4,380.4,American General Ventures Inc,Attn : Kimberly Yarborough,1616 Goggles Drive,Sterling,KS,67579,Photo Equip,A
TPCE,100,100,Pervasively Manufacturing Equip,374.1,334.9,308.1,American General Ventures Inc,Attn : Kimberly Yarborough,1616 Goggles Drive,Sterling,KS,67579,Manufacturing Equip,A
TPCE,18,18,Miniaturizing Manufacturing Equip,456.2,379.6,353,American General Ventures Inc,Attn : Kimberly Yarborough,1616 Goggles Drive,Sterling,KS,67579,Manufacturing Equip,A
TPCE,56,56,Allis Polishing Equip,201.8,176.3,160.5,American General Ventures Inc,Attn : Kimberly Yarborough,1616 Goggles Drive,Sterling,KS,67579,Polishing Equip,A
TPCE,1,1,Enumerator Polishing Equip,165,142.5,135.4,American General Ventures Inc,Attn : Kimberly Yarborough,1616 Goggles Drive,Sterling,KS,67579,Polishing Equip,A
TPCE,25,25,Chalmers Polishing Equip,289.2,242.6,223.2,American General Ventures Inc,Attn : Kimberly Yarborough,1616 Goggles Drive,Sterling,KS,67579,Polishing Equip,A
TPCE,17,17,Optima Cleaning Supplies,288.4,255.5,242.8,American General Ventures Inc,Attn : Kimberly Yarborough,1616 Goggles Drive,Sterling,KS,67579,Cleaning Supplies,B
TPCE,10,10,Defeated Tray Supplies,559.7,476.9,448.3,American General Ventures Inc,Attn : Kimberly Yarborough,1616 Goggles Drive,Sterling,KS,67579,Tray Supplies,B
TPCE,41,41,Consideration Tray Supplies,172.6,146.8,139.5,American General Ventures Inc,Attn : Kimberly Yarborough,1616 Goggles Drive,Sterling,KS,67579,Tray Supplies,B
TPCE,12,12,Travelings Photo Chemicals,274.4,242,225.1,American General Ventures Inc,Attn : Kimberly Yarborough,1616 Goggles Drive,Sterling,KS,67579,Photo Chemicals,C
TPCE,5,5,Automobiles Fillers,283.8,227.6,218.5,American General Ventures Inc,Attn : Kimberly Yarborough,1616 Goggles Drive,Sterling,KS,67579,Fillers,D
TPCE,35,35,Chromium Photo Equip,565.5,457.5,425.5,Fedders Corp,Attn : Virgil Hubert,7844 Carelessly Drive,Overlook,WA,98366,Photo Equip,A
TPCE,8,8,Septembers Manufacturing Equip,584.3,523,517.8,Fedders Corp,Attn : Virgil Hubert,7844 Carelessly Drive,Overlook,WA,98366,Manufacturing Equip,A
TPCE,58,58,Characterization Plastic Supplies,231.7,185.6,168.9,Fedders Corp,Attn : Virgil Hubert,7844 Carelessly Drive,Overlook,WA,98366,Plastic Supplies,B
TPCE,80,80,Temporally Plastic Supplies,477.5,408.3,371.5,Fedders Corp,Attn : Virgil Hubert,7844 Carelessly Drive,Overlook,WA,98366,Plastic Supplies,B
TPCE,72,72,Anthem Tray Supplies,134.9,112.4,109,Fedders Corp,Attn : Virgil Hubert,7844 Carelessly Drive,Overlook,WA,98366,Tray Supplies,B
TPCE,66,66,Exemplar Freezing Chemicals,198.4,160.9,152.8,Fedders Corp,Attn : Virgil Hubert,7844 Carelessly Drive,Overlook,WA,98366,Freezing Chemicals,C
TPCE,7,7,Commendation Fillers,436.3,380,364.8,Fedders Corp,Attn : Virgil Hubert,7844 Carelessly Drive,Overlook,WA,98366,Fillers,D
TPCE,15,15,Disposed Fillers,158.8,138,132.5,Fedders Corp,Attn : Virgil Hubert,7844 Carelessly Drive,Overlook,WA,98366,Fillers,D
TPCE,3,3,Sortie Covers,248.2,213.2,206.8,Fedders Corp,Attn : Virgil Hubert,7844 Carelessly Drive,Overlook,WA,98366,Covers,D
TPCE,13,13,Coward Covers,429.8,349,328.1,Fedders Corp,Attn : Virgil Hubert,7844 Carelessly Drive,Overlook,WA,98366,Covers,D
TPCE,51,51,Reflection Lifts,497.9,447.6,438.6,Fedders Corp,Attn : Virgil Hubert,7844 Carelessly Drive,Overlook,WA,98366,Lifts,D
TPCE,26,26,Subclasses Polishing Equip,282.5,239,236.6,Saurer Gruppe Holding Ag,Attn : Pearce Valdez,3727 Elms Drive,South Saint Paul,MN,55077,Polishing Equip,A
TPCE,89,89,Travel Paper Supplies,129.8,108.8,103.4,Saurer Gruppe Holding Ag,Attn : Pearce Valdez,3727 Elms Drive,South Saint Paul,MN,55077,Paper Supplies,B
TPCE,27,27,Pinnings Plastic Supplies,337.2,302.4,287.3,Saurer Gruppe Holding Ag,Attn : Pearce Valdez,3727 Elms Drive,South Saint Paul,MN,55077,Plastic Supplies,B
TPCE,88,88,Vestiges Tray Supplies,231.4,192.1,186.3,Saurer Gruppe Holding Ag,Attn : Pearce Valdez,3727 Elms Drive,South Saint Paul,MN,55077,Tray Supplies,B
TPCE,31,31,Simplifier Tray Supplies,408.8,349.1,328.2,Saurer Gruppe Holding Ag,Attn : Pearce Valdez,3727 Elms Drive,South Saint Paul,MN,55077,Tray Supplies,B
TPCE,83,83,Horses Lifts,487.3,402.5,366.3,Saurer Gruppe Holding Ag,Attn : Pearce Valdez,3727 Elms Drive,South Saint Paul,MN,55077,Lifts,D
