invoice,custID,prodID,salesDate,amt,qty,discounted
48,23,43,5/15/08,6930,14,0
49,21,12,1/8/05,3292,12,0
49,21,91,1/8/05,19696,40,0
50,21,72,1/8/07,4182,31,0
51,21,8,1/8/06,111022,190,0
51,21,80,1/8/06,72107,151,0
52,34,64,6/14/10,78819,135,0
53,21,105,1/8/08,52096,187,0
54,28,12,12/31/07,2743,10,0
55,23,102,5/15/07,6361,20,0
56,11,17,8/19/08,52490,182,0
57,37,5,8/26/05,38600,136,0
57,37,24,8/26/05,22350,75,0
57,37,96,8/26/05,12855,120,0
58,3,41,1/8/07,20189,117,0
59,12,105,3/4/07,33709,121,0
60,34,44,4/7/10,7469,38,0
61,10,15,7/8/10,10165,64,0
61,10,45,7/8/10,85146,172,0
61,10,51,7/8/10,70196,141,0
61,10,93,7/8/10,55785,111,0
62,25,66,6/14/07,37497,189,0
63,25,81,6/14/06,16033,131,0
64,34,38,5/25/10,41489,183,0
64,34,43,5/25/10,76725,155,0
64,34,49,5/25/10,75510,133,0
64,34,63,5/25/10,33602,169,0
65,5,7,9/15/10,23125,53,0
66,33,30,2/7/06,47314,167,0
67,15,38,10/4/06,28340,125,0
67,15,63,10/4/06,15707,79,0
68,15,67,10/4/07,31780,159,0
68,15,86,10/4/07,30519,75,0
69,15,45,10/4/08,27722,56,0
70,15,53,10/4/09,49543,104,0
71,27,16,7/18/06,46096,100,0
71,27,100,7/18/06,44148,118,0
72,33,21,2/7/07,54331,96,0
73,27,49,12/25/06,82323,145,0
74,38,79,7/15/09,21394,138,0
75,21,68,7/24/05,22130,52,0
76,38,62,7/15/07,28918,57,0
76,38,69,7/15/07,23734,54,0
77,38,21,7/15/06,74705,132,0
78,10,27,3/7/10,49563,147,0
79,25,88,9/25/05,8332,36,0
80,25,31,9/25/06,42925,105,0
81,25,91,9/25/07,58595,119,0
82,25,69,9/25/09,61973,141,0
83,7,30,10/5/05,11332,40,0
84,20,20,5/23/08,45522,196,0
85,33,12,5/24/10,39786,145,0
85,33,17,5/24/10,23361,81,0
86,29,103,12/5/05,12335,25,0
87,1,15,4/22/06,7624,48,0
88,36,22,1/11/06,68405,140,0
88,36,58,1/11/06,30813,133,0
89,36,82,1/11/05,15121,147,0
89,36,99,1/11/05,91048,172,0
90,8,100,3/27/08,67719,181,0
91,8,98,3/27/09,20535,152,0
92,40,33,5/15/06,26511,67,0
92,40,39,5/15/06,20774,69,0
92,40,59,5/15/06,17331,47,0
93,40,17,5/15/07,42684,148,0
93,40,26,5/15/07,45649,191,1
93,40,33,5/15/07,41548,105,0
94,40,20,5/15/08,38016,186,1
94,40,62,5/15/08,43862,107,1
95,40,95,5/15/09,83299,179,1
95,40,96,5/15/09,4633,50,1
96,8,8,3/27/06,63107,108,0
97,8,52,3/27/07,8671,15,0
97,8,78,3/27/07,31487,99,0
98,38,19,12/29/06,23896,192,0
98,38,28,12/29/06,105064,192,0
98,38,37,12/29/06,39750,68,0
99,13,93,9/15/06,90965,181,0
100,38,2,12/29/05,61683,121,0
101,34,8,5/4/09,112775,193,0
101,34,35,5/4/09,63901,113,0
102,10,23,4/26/05,6765,29,0
102,10,84,4/26/05,14461,65,0
103,10,74,4/26/06,21172,78,0
104,10,3,4/26/08,18119,73,0
104,10,51,4/26/08,15433,31,0
105,24,43,2/29/08,18315,37,0
106,12,93,7/23/10,16082,32,0
107,35,14,4/30/10,35685,83,0
107,35,34,4/30/10,35409,104,0
108,36,80,1/20/07,30561,64,0
109,38,50,4/16/07,70266,134,0
110,30,10,8/13/06,91237,163,0
111,30,84,8/13/07,21135,95,0
111,30,90,8/13/07,58291,139,0
112,15,7,1/1/06,41015,94,0
112,15,51,1/1/06,30368,61,0
112,15,102,1/1/06,48345,152,0
113,18,12,2/17/08,8780,32,0
113,18,55,2/17/08,76343,140,0
114,11,2,3/5/09,83094,163,0
114,11,21,3/5/09,31693,56,0
114,11,69,3/5/09,77796,177,0
115,11,36,3/5/08,11072,24,0
115,11,48,3/5/08,47457,135,0
116,11,56,3/5/06,19773,98,0
117,30,8,4/12/06,28632,49,0
117,30,29,4/12/06,20801,41,0
118,15,96,1/1/09,12534,117,0
119,15,20,1/1/08,7200,31,0
119,15,42,1/1/08,13432,24,0
120,17,86,6/29/10,80572,198,0
121,23,47,1/15/07,15428,109,0
121,23,81,1/15/07,23009,188,0
121,23,102,1/15/07,20673,65,0
122,23,8,1/15/05,33891,58,0
123,12,32,10/19/05,72189,176,0
123,12,45,10/19/05,6930,14,0
124,12,7,10/19/06,20071,46,0
124,12,65,10/19/06,3972,33,0
125,12,20,10/19/09,14864,64,0
125,12,28,10/19/09,80439,147,0
125,12,56,10/19/09,24010,119,0
125,12,84,10/19/09,30257,136,0
126,12,42,10/19/08,111933,200,0
127,23,55,1/15/09,52895,97,0
128,22,95,3/13/10,54972,101,0
129,29,102,2/9/09,30215,95,0
130,16,99,3/28/08,24350,46,0
131,25,102,11/30/06,22582,71,0
132,10,39,10/25/08,35527,118,0
132,10,75,10/25/08,13487,93,0
133,10,54,10/25/09,44679,137,0
133,10,57,10/25/09,11341,47,0
133,10,80,10/25/09,76882,161,0
134,10,4,10/25/07,33872,135,0
134,10,102,10/25/07,46118,145,0
135,25,85,11/30/08,17680,107,0
136,16,60,3/28/05,63153,124,0
137,29,32,2/9/07,39786,97,0
137,29,77,2/9/07,59271,119,0
138,16,17,3/28/06,10382,36,0
138,16,38,3/28/06,39222,173,0
138,16,82,3/28/06,13270,129,0
138,16,93,3/28/06,54277,108,0
139,28,100,5/13/10,17210,46,0
140,34,59,1/19/07,8112,22,0
141,14,50,8/21/07,86522,165,0
142,34,35,1/19/06,65032,115,0
143,27,27,8/12/05,25287,75,0
143,27,47,8/12/05,7360,52,0
143,27,54,8/12/05,47614,146,0
143,27,81,8/12/05,22519,184,0
144,29,30,5/29/05,12182,43,0
145,29,103,5/29/06,42432,86,0
146,27,26,8/12/06,12430,44,0
146,27,73,8/12/06,56785,190,0
146,27,105,8/12/06,50981,183,0
147,15,46,10/8/08,99550,192,0
148,34,45,1/19/05,16336,33,0
148,34,81,1/19/05,24478,200,0
149,12,56,9/19/09,18562,92,0
150,15,12,10/8/05,19756,72,0
150,15,16,10/8/05,21665,47,0
151,12,75,9/19/05,17838,123,0
152,15,50,10/8/07,84425,161,0
152,15,84,10/8/07,16018,72,0
152,15,105,10/8/07,32873,118,0
153,37,8,10/9/07,6427,11,0
154,37,23,10/9/06,18664,80,0
154,37,94,10/9/06,58930,104,0
155,33,65,5/26/05,22392,186,0
156,33,98,5/26/06,26344,195,0
157,33,16,5/26/07,91731,199,0
157,33,60,5/26/07,9676,19,0
157,33,77,5/26/07,18428,37,0
158,11,84,9/26/09,38489,173,0
159,20,93,10/3/09,14574,29,0
160,33,23,5/26/09,20297,87,0
160,33,87,5/26/09,87753,182,0
161,34,1,1/19/08,31509,191,0
161,34,31,1/19/08,54371,133,0
162,5,59,9/28/10,61212,166,0
163,32,8,5/31/10,31553,54,0
164,8,51,12/26/09,44806,90,0
165,12,81,9/20/10,21907,179,0
166,39,17,11/27/06,9805,34,0
166,39,25,11/27/06,41640,144,0
166,39,42,11/27/06,66600,119,0
166,39,52,11/27/06,18498,32,0
166,39,60,11/27/06,24955,49,0
167,39,80,11/27/07,93118,195,0
168,39,2,11/27/08,86152,169,0
168,39,37,11/27/08,43258,74,0
168,39,49,11/27/08,56775,100,0
169,39,98,11/27/09,25263,187,0
170,26,50,6/26/09,59254,113,0
171,34,73,4/27/10,41542,139,0
171,34,99,4/27/10,54523,103,0
172,26,1,6/26/06,2309,14,0
172,26,16,6/26/06,13367,29,0
172,26,40,6/26/06,11239,56,0
172,26,74,6/26/06,2985,11,0
173,26,48,6/26/05,64331,183,0
174,6,35,9/18/07,36192,64,0
175,18,97,4/30/09,114608,199,0
176,3,51,7/15/10,21905,44,0
177,9,21,12/4/09,86590,153,0
178,23,72,2/8/10,3912,29,0
179,6,3,9/18/05,35742,144,0
179,6,49,9/18/05,63020,111,0
180,18,72,4/30/05,20912,155,0
181,18,12,4/30/07,33475,122,0
182,18,25,4/30/06,49448,171,0
182,18,65,4/30/06,5056,42,0
183,38,60,8/7/10,49402,97,0
183,38,72,8/7/10,14301,106,0
183,38,92,8/7/10,10165,61,0
184,31,92,11/9/05,3666,22,0
185,31,71,11/9/06,6049,19,0
185,31,83,11/9/06,18517,38,0
186,31,95,11/9/07,25036,46,0
187,31,91,3/5/05,80753,164,0
188,31,33,3/5/07,60146,152,0
188,31,52,3/5/07,113879,197,0
188,31,101,3/5/07,29129,101,0
188,31,104,3/5/07,21126,73,0
189,31,82,3/5/06,1440,14,0
190,31,77,3/5/09,10459,21,0
191,31,42,3/5/08,58765,105,0
192,31,96,11/9/08,8034,75,0
193,27,36,6/9/10,56744,123,0
194,10,9,8/26/08,47585,161,0
194,10,75,8/26/08,23929,165,0
195,23,74,3/21/09,21443,79,0
196,18,82,3/16/06,11830,115,0
197,10,54,8/26/05,25112,77,0
197,10,61,8/26/05,36559,128,0
198,23,88,3/21/06,17821,77,0
199,10,11,8/26/07,14880,42,0
199,10,54,8/26/07,42396,130,0
200,29,13,9/7/08,22778,53,0
201,29,34,9/7/09,16002,47,0
201,29,55,9/7/09,80705,148,0
201,29,67,9/7/09,27783,139,0
201,29,81,9/7/09,23866,195,0
202,32,94,3/29/06,64030,113,0
203,32,6,3/29/05,35075,101,0
203,32,45,3/29/05,55444,112,0
204,32,17,3/29/08,25956,90,0
205,32,42,3/29/09,31901,57,0
206,29,73,9/7/05,12253,41,0
207,35,38,8/30/10,18364,81,0
207,35,86,8/30/10,16684,41,0
208,26,62,4/12/05,79652,157,0
209,25,36,1/7/09,40597,88,0
210,25,12,1/7/05,46371,169,0
210,25,38,1/7/05,14963,66,0
210,25,54,1/7/05,32286,99,0
211,25,59,1/7/06,57156,155,0
211,25,75,1/7/06,12182,84,0
212,12,53,2/22/10,90512,190,0
213,26,31,2/26/07,61321,150,0
214,32,23,8/26/05,23563,101,0
214,32,41,8/26/05,12079,70,0
214,32,102,8/26/05,33396,105,0
215,3,100,10/14/09,31801,85,0
216,3,63,10/14/08,27637,139,0
217,4,28,2/16/09,37757,69,0
218,3,77,10/14/07,72719,146,0
219,32,15,8/26/09,6988,44,0
220,26,58,2/26/09,35215,152,0
220,26,60,2/26/09,92692,182,0
221,26,60,2/26/08,29030,57,0
221,26,77,2/26/08,87662,176,0
221,26,79,2/26/08,19533,126,0
222,21,38,1/8/09,23805,105,0
223,33,34,7/16/09,49369,145,0
224,33,92,7/16/08,13665,82,0
225,4,67,9/22/10,2598,13,0
225,4,84,9/22/10,35374,159,0
226,31,66,1/6/09,39084,197,0
227,16,91,7/28/07,31513,64,0
227,16,94,7/28/07,23232,41,0
228,20,38,2/20/08,32420,143,0
229,7,54,12/2/08,15654,48,0
229,7,95,12/2/08,60959,112,0
230,7,30,6/8/10,31448,111,0
231,11,14,8/19/09,82978,193,0
231,11,52,8/19/09,17920,31,0
232,7,19,12/2/09,8587,69,0
233,16,76,7/28/09,35284,117,0
234,16,12,7/28/08,46920,171,0
234,16,88,7/28/08,15507,67,0
234,16,103,7/28/08,31577,64,0
235,20,18,2/20/05,73454,161,0
235,20,33,2/20/05,13058,33,0
235,20,89,2/20/05,5323,41,0
236,23,60,5/15/06,14260,28,0
236,23,91,5/15/06,77799,158,0
236,23,92,5/15/06,21164,127,0
237,23,87,5/15/05,30858,64,0
238,29,102,12/31/06,53116,167,0
239,29,18,12/31/05,75279,165,0
240,38,101,10/17/09,54221,188,0
241,14,22,2/28/09,53258,109,0
242,16,6,4/11/08,62163,179,0
242,16,105,4/11/08,17272,62,0
243,7,5,12/2/05,7947,28,0
244,11,18,12/10/09,41061,90,0
245,4,52,2/16/07,27747,48,0
245,4,64,2/16/07,107428,184,0
246,35,97,9/11/06,20157,35,0
247,35,58,9/11/07,19692,85,0
247,35,70,9/11/07,30387,52,0
248,11,26,12/10/05,55371,196,0
248,11,60,12/10/05,69774,137,0
249,35,45,9/11/05,17326,35,0
249,35,49,9/11/05,94814,167,0
250,27,40,12/4/10,33317,166,0
250,27,85,12/4/10,27099,164,0
251,38,6,5/22/10,26740,77,0
252,25,58,6/10/10,40080,173,0
253,32,15,5/13/10,2859,18,0
253,32,104,5/13/10,29809,103,0
254,3,89,9/2/10,15711,121,0
255,19,14,5/20/09,33105,77,0
255,19,53,5/20/09,90512,190,0
255,19,87,5/20/09,76181,158,0
256,3,24,1/22/08,48872,164,0
257,19,91,12/30/07,87154,177,0
258,12,24,3/4/09,15794,53,0
258,12,33,3/4/09,10683,27,0
259,19,70,12/30/06,74216,127,0
260,12,29,4/7/08,70521,139,0
261,20,85,6/20/07,6113,37,0
262,20,45,6/20/06,56929,115,0
262,20,92,6/20/06,27663,166,0
263,20,65,11/20/06,16613,138,0
264,17,10,10/27/09,58772,105,0
264,17,21,10/27/09,57726,102,0
265,17,55,10/27/08,72526,133,0
265,17,61,10/27/08,27990,98,0
265,17,97,10/27/08,68534,119,0
266,26,15,5/3/10,1588,10,0
266,26,58,5/3/10,38690,167,0
267,20,68,6/20/08,64264,151,0
268,26,39,12/21/09,9634,32,0
269,26,64,12/21/08,83490,143,0
269,26,78,12/21/08,47390,149,0
270,7,10,6/27/07,39181,70,0
270,7,42,6/27/07,25185,45,0
271,36,7,10/19/09,87266,200,0
272,36,5,10/19/08,8798,31,0
273,36,45,10/19/06,80691,163,0
273,36,77,10/19/06,90152,181,0
273,36,100,10/19/06,26938,72,0
274,7,99,6/27/08,92636,175,0
275,26,16,12/21/05,55315,120,0
275,26,61,12/21/05,50269,176,0
276,26,13,12/21/07,48136,112,0
276,26,52,12/21/07,20810,36,0
276,26,86,12/21/07,69178,170,0
277,3,93,2/28/08,71364,142,0
278,5,25,12/4/06,20241,70,0
278,5,74,12/4/06,17372,64,0
279,3,40,2/28/05,21275,106,0
280,3,44,2/28/07,16511,84,0
280,3,68,2/28/07,73201,172,0
281,3,93,2/28/06,96493,192,0
282,22,94,11/12/08,92362,163,0
282,22,96,11/12/08,2249,21,0
283,22,61,11/12/09,33703,118,0
283,22,82,11/12/09,15533,151,0
284,2,76,5/23/07,13872,46,0
285,8,70,10/4/05,72463,124,0
286,32,3,7/29/08,32019,129,0
286,32,42,7/29/08,71078,127,0
286,32,49,7/29/08,24981,44,0
286,32,84,7/29/08,18910,85,0
287,15,20,12/9/06,8593,37,0
287,15,76,12/9/06,59712,198,0
287,15,87,12/9/06,27000,56,0
288,15,34,12/9/09,38474,113,0
288,15,56,12/9/09,28853,143,0
288,15,61,12/9/09,52554,184,0
289,15,104,12/9/08,46016,159,0
290,32,7,7/29/05,45814,105,0
291,22,20,11/12/05,34606,149,0
292,22,32,11/12/06,39376,96,0
292,22,41,11/12/06,26229,152,0
293,22,58,11/12/07,38227,165,0
294,39,9,3/13/08,32807,111,0
294,39,78,3/13/08,28943,91,0
294,39,79,3/13/08,26045,168,0
294,39,91,3/13/08,31513,64,0
295,37,20,2/5/10,7200,31,0
295,37,37,2/5/10,30397,52,0
295,37,47,2/5/10,14721,104,0
295,37,57,2/5/10,26543,110,0
295,37,105,2/5/10,54046,194,0
296,2,92,10/1/09,10998,66,0
297,25,18,1/22/10,83948,184,0
297,25,43,1/22/10,68805,139,0
298,40,18,5/12/09,62961,138,0
298,40,99,5/12/09,83637,158,0
299,39,51,3/13/06,46300,93,0
300,39,33,3/13/07,49858,126,0
300,39,41,3/13/07,16220,94,0
300,39,45,3/13/07,16831,34,0
301,28,66,5/16/09,30950,156,0
301,28,89,5/16/09,21814,168,0
302,28,84,5/16/08,18688,84,0
303,4,99,6/8/08,82049,155,0
304,40,6,5/12/08,15974,46,0
304,40,15,5/12/08,15725,99,0
304,40,54,5/12/08,60334,185,0
304,40,56,5/12/08,4842,24,0
305,40,24,1/21/10,56024,188,0
305,40,37,1/21/10,68394,117,0
306,4,34,9/14/10,56860,167,0
307,28,13,5/16/07,71345,166,0
308,4,49,6/8/05,31794,56,0
309,27,89,12/26/05,7920,61,0
310,9,48,8/5/05,51676,147,0
311,27,105,12/26/07,52096,187,0
312,36,9,12/9/09,6206,21,0
313,9,28,8/5/08,49248,90,0
313,9,92,8/5/08,17164,103,0
314,9,11,8/5/09,59522,168,0
314,9,31,8/5/09,44560,109,0
315,36,14,12/9/05,81258,189,0
315,36,68,12/9/05,80436,189,0
315,36,77,12/9/05,23409,47,0
316,4,31,11/11/05,8585,21,0
316,4,92,11/11/05,18831,113,0
317,4,94,11/11/06,98028,173,0
318,4,31,8/30/06,36792,90,0
319,5,20,12/27/08,41342,178,0
320,26,64,1/29/10,113850,195,0
320,26,86,1/29/10,17497,43,0
320,26,93,1/29/10,13066,26,0
321,21,13,2/16/10,42119,98,0
322,4,19,11/11/09,23025,185,0
322,4,26,11/11/09,53394,189,0
323,31,22,5/21/10,68405,140,0
324,20,75,6/4/09,22189,153,0
325,20,74,6/4/08,29858,110,0
326,20,39,6/4/05,19871,66,0
326,20,48,6/4/05,65737,187,0
327,4,88,9/9/06,10646,46,0
328,20,49,6/4/07,101627,179,0
329,20,35,6/4/06,108576,192,0
330,34,41,6/29/10,33821,196,0
331,34,1,7/5/07,5938,36,0
331,34,55,7/5/07,74707,137,0
332,37,45,8/24/05,61384,124,0
333,37,34,8/24/07,10895,32,0
334,15,17,3/28/08,28841,100,0
335,20,16,3/5/05,71448,155,0
336,11,14,9/20/07,70940,165,0
337,38,24,1/22/10,4768,16,0
338,37,36,8/24/09,41059,89,0
338,37,97,8/24/09,104241,181,0
339,37,70,8/24/08,102266,175,0
340,30,101,11/1/05,48452,168,0
341,2,102,11/5/07,58841,185,0
342,21,37,8/25/05,30982,53,0
342,21,40,8/25/05,13046,65,0
343,21,12,8/25/09,53780,196,0
343,21,58,8/25/09,27569,119,0
343,21,86,8/25/09,76095,187,0
344,21,4,8/25/08,43407,173,0
344,21,40,8/25/08,35927,179,0
344,21,44,8/25/08,21228,108,0
344,21,57,8/25/08,40538,168,0
344,21,85,8/25/08,17350,105,0
345,7,28,6/17/09,95214,174,0
345,7,57,6/17/09,23647,98,0
345,7,81,6/17/09,9179,75,0
345,7,105,6/17/09,37331,134,0
346,30,5,11/1/08,47683,168,0
347,6,55,12/18/06,31627,58,0
347,6,59,12/18/06,40931,111,0
348,6,7,12/18/05,62831,144,0
348,6,45,12/18/05,49008,99,0
348,6,76,12/18/05,56093,186,0
349,30,48,6/30/10,30935,88,0
349,30,83,6/30/10,43369,89,0
350,26,21,1/21/06,93381,165,0
350,26,95,1/21/06,45719,84,0
351,6,7,12/18/08,52359,120,0
351,6,31,12/18/08,68680,168,0
352,23,39,6/6/10,21376,71,0
353,30,77,1/4/07,96627,194,0
354,30,71,1/4/06,40434,127,0
355,37,88,6/4/07,41661,180,0
355,37,105,6/4/07,52374,188,0
356,21,2,12/9/05,75957,149,0
357,20,33,12/3/05,75183,190,0
357,20,58,12/3/05,40544,175,0
358,6,3,8/12/05,31274,126,0
359,6,79,8/12/07,22944,148,0
360,6,62,8/12/06,49211,97,0
361,37,62,6/4/09,53270,105,0
361,37,78,6/4/09,40075,126,0
362,30,34,1/4/09,16002,47,0
363,1,19,10/28/10,21033,169,0
363,1,22,10/28/10,89904,184,0
363,1,29,10/28/10,63418,125,0
363,1,89,10/28/10,17659,136,0
363,1,91,10/28/10,67951,138,0
364,28,27,6/7/08,35740,106,0
365,28,36,6/7/09,64126,139,0
366,5,61,7/11/09,29704,104,0
366,5,92,7/11/09,2833,17,0
367,27,4,9/2/05,48174,192,0
367,27,69,9/2/05,20218,46,0
368,14,57,3/28/06,27025,112,0
369,27,39,9/2/07,8731,29,0
369,27,50,9/2/07,41950,80,0
369,27,89,9/2/07,15582,120,0
370,27,67,9/2/06,24785,124,0
371,27,16,9/2/09,45635,99,0
372,27,76,9/2/08,24126,80,0
372,27,87,9/2/08,69913,145,0
373,14,37,3/28/09,81839,140,0
373,14,58,3/28/09,12974,56,0
374,5,14,7/11/06,83838,195,0
374,5,18,7/11/06,78017,171,0
375,5,5,7/11/07,3405,12,0
376,28,25,6/7/07,11277,39,0
377,8,37,10/11/05,63718,109,0
377,8,93,10/11/05,75385,150,0
378,8,86,10/11/07,44355,109,0
379,8,48,10/11/06,43239,123,0
379,8,59,10/11/06,57156,155,0
379,8,96,10/11/06,9855,92,0
380,8,53,10/11/08,8098,17,0
381,32,21,3/12/06,110926,196,0
381,32,32,3/12/06,46759,114,0
382,32,28,3/12/07,5472,10,0
382,32,36,3/12/07,69662,151,0
382,32,84,3/12/07,29812,134,0
383,5,88,12/10/09,41661,180,0
384,2,93,6/23/08,57292,114,0
385,8,4,6/8/07,40647,162,0
386,8,28,2/24/07,68948,126,0
386,8,29,2/24/07,24352,48,0
386,8,38,2/24/07,10655,47,0
387,8,32,2/24/09,65627,160,0
387,8,83,2/24/09,19004,39,0
388,24,60,6/2/10,30048,59,0
388,24,102,6/2/10,48027,151,0
389,8,35,6/8/08,35626,63,0
389,8,80,6/8/08,94550,198,0
390,27,25,7/18/09,55231,191,0
390,27,45,7/18/09,61384,124,0
390,27,55,7/18/09,72526,133,0
391,40,15,12/18/09,3653,23,0
392,25,52,12/16/08,83242,144,0
393,15,66,11/9/09,37696,190,0
393,15,104,11/9/09,30966,107,0
394,12,28,4/9/05,16963,31,0
395,12,82,4/9/07,17385,169,0
395,12,89,4/9/07,3505,27,0
396,7,94,6/17/06,24365,43,0
397,12,54,4/9/09,59681,183,0
398,12,73,4/9/08,29289,98,0
399,25,21,12/16/06,20940,37,0
400,25,43,12/16/07,88605,179,0
401,25,87,12/16/05,72324,150,0
402,24,57,2/16/05,6756,28,0
403,1,23,12/8/09,24729,106,0
404,31,45,5/26/07,7425,15,0
404,31,87,5/26/07,86788,180,0
405,24,56,11/23/06,36923,183,0
406,31,85,5/26/05,8096,49,0
407,24,90,11/23/08,83033,198,0
407,24,93,11/23/08,47744,95,0
408,24,15,11/23/09,31291,197,0
408,24,27,11/23/09,66422,197,0
408,24,91,11/23/09,34960,71,0
409,31,33,5/26/08,36404,92,0
410,31,12,5/26/09,17286,63,0
411,1,44,12/8/06,10221,52,0
412,1,98,12/8/07,21616,160,0
413,18,104,7/30/10,6367,22,0
414,34,57,1/20/07,21234,88,0
415,34,15,1/20/05,13024,82,0
415,34,37,1/20/05,46765,80,0
415,34,94,1/20/05,6799,12,0
416,15,11,2/2/08,27281,77,0
416,15,13,2/2/08,66617,155,0
416,15,47,2/2/08,15712,111,0
417,15,41,2/2/07,17946,104,0
418,34,70,1/20/09,68372,117,0
419,34,29,1/20/08,90815,179,0
420,28,43,1/16/05,71775,145,0
421,1,58,5/11/06,23168,100,0
421,1,88,5/11/06,44438,192,0
422,28,38,1/16/06,17457,77,0
422,28,47,1/16/06,10333,73,0
423,2,9,9/14/10,10049,34,0
423,2,47,9/14/10,4812,34,0
424,1,5,5/11/08,56198,198,0
424,1,51,5/11/08,20411,41,0
425,28,6,1/16/08,26045,75,0
425,28,21,1/16/08,58292,103,0
425,28,81,1/16/08,18970,155,0
426,1,71,12/12/06,33429,105,0
426,1,79,12/12/06,24649,159,0
427,15,20,11/11/09,25548,110,0
428,27,32,7/11/09,66447,162,0
428,27,57,7/11/09,15201,63,0
429,27,84,7/11/07,5562,25,0
430,27,53,7/11/06,94323,198,0
431,15,5,11/11/08,39168,138,0
431,15,13,11/11/08,42979,100,0
431,15,58,11/11/08,5096,22,0
432,4,28,1/16/06,43776,80,0
432,4,39,1/16/06,3612,12,0
433,10,93,1/21/08,94985,189,0
434,10,2,1/21/09,60154,118,0
435,11,43,4/22/09,68310,138,0
436,4,59,1/16/07,64900,176,0
436,4,74,1/16/07,27686,102,0
437,11,29,12/23/05,68492,135,0
437,11,51,12/23/05,63226,127,0
437,11,86,12/23/05,38658,95,0
438,10,55,1/21/05,23993,44,0
439,10,26,1/21/06,26838,95,0
440,11,67,12/23/06,34979,175,0
441,15,60,11/11/05,47874,94,0
441,15,72,11/11/05,4182,31,0
442,4,29,9/30/08,80161,158,0
442,4,36,9/30/08,19376,42,0
443,24,98,11/27/07,25804,191,0
444,26,53,7/20/07,77649,163,0
444,26,55,7/20/07,40898,75,0
444,26,84,7/20/07,24917,112,0
445,26,83,7/20/05,82353,169,0
445,26,95,7/20/05,32656,60,0
446,26,48,7/20/08,21443,61,0
446,26,59,7/20/08,43512,118,0
446,26,95,7/20/08,61503,113,0
447,4,49,9/30/06,104466,184,0
448,4,54,9/30/07,55442,170,0
448,4,96,9/30/07,6534,61,0
449,16,3,5/9/10,32019,129,0
449,16,94,5/9/10,73663,130,0
450,9,35,7/11/06,23751,42,0
